InitSize,InsertionOperations,InsertionTimeNs,SearchOperations,SearchTimeNs,ErasureOperations,ErasureTimeNs,InitializationTimeNs,DestructionTimeNs,MemoryUsed
100,8,1834,13,1873,10,2012,197981,8291,17600
300,12,2497,16,2419,13,2691,718361,37035,52800
500,12,2271,17,2191,14,2458,1192512,49720,88000
700,15,2497,18,2262,16,2640,1651692,56791,123200
900,13,2208,19,2152,15,2605,2183327,73219,158400
1000,14,2592,19,2556,16,2750,2148479,64123,176000
3000,22,2870,27,2644,24,3002,7492108,251131,528000
5000,20,2610,25,2404,22,2742,13314052,410560,880000
7000,20,2864,27,2741,22,2988,21866525,1248128,1232000
9000,19,2663,25,2459,21,2796,27655978,673662,1584000
10000,21,2651,27,2450,23,2786,30726763,977057,1760000
30000,20,2936,29,2896,22,3051,114744901,3291198,5280000
50000,27,3633,35,3401,29,3768,189242217,7630674,8800000
70000,28,3688,35,3399,30,3819,276258879,12322698,12320000
90000,21,4095,33,4179,23,4267,385728387,22752043,15840000
100000,21,3173,33,3257,23,3352,447041421,20320325,17600000
300000,23,4670,32,4577,24,4871,1564459329,81756355,52800000
500000,29,4801,39,4558,31,4965,2867704527,146456260,88000000
700000,30,6012,41,6111,32,6149,4222993796,198688090,123200000
900000,31,5403,41,5010,33,5559,5711603330,280051867,158400000
1000000,29,4651,42,5760,30,4378,6532356243,252012265,176000000
3000000,32,6333,45,6116,34,6486,23987037813,966549234,528000000
5000000,35,7234,47,6956,37,7309,46448827275,1700464757,880000000
7000000,41,7498,50,6818,42,7655,73599867915,2484544473,1232000000
9000000,36,6989,49,6658,38,7186,100323496676,3398706138,1584000000
