BatchSize,InsertionOperations,InsertionTimeNs,SearchOperations,SearchTimeNs,ErasureOperations,ErasureTimeNs
100,183,478,136,154,145,236
300,189,507,133,153,144,240
500,214,560,146,164,157,260
700,171,451,115,145,120,219
900,259,541,195,194,202,273
1000,212,609,142,182,149,298
3000,278,612,201,200,209,297
5000,228,496,148,155,153,244
7000,291,515,211,187,216,263
9000,267,585,183,158,192,249
10000,290,395,203,155,203,202
30000,278,399,189,140,191,198
50000,354,478,266,200,267,274
70000,289,458,199,175,196,254
90000,328,434,226,166,223,247
100000,394,454,289,177,289,255
300000,422,664,321,264,323,381
500000,412,733,299,278,301,420
700000,554,780,442,381,437,489
900000,486,746,368,336,363,458
1000000,540,867,413,367,411,495
3000000,481,779,361,324,358,451
5000000,475,762,342,313,334,455
7000000,474,762,350,319,345,447
9000000,568,899,433,390,427,545
